,hotel_name,hotel_url,hotel_describe,hotel_ranking,hotel_city,hotel_lat,hotel_lon
10,Odalys City Colmar La Rose d'Argent,https://www.booking.com/hotel/fr/appart-39-odalys-la-rose-d-39-argent.fr.html?label=fr-85Sbyi2evytni3mHZEi6UgS267492169156%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056586%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9Ye7BFAsTyVd6vvamF_no64o&sid=02b206a84eecccc147910770df8a2890&aid=376366&ucfs=1&arphpl=1&dest_id=-1421049&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=bayesian_review_score&nflt=ht_id%3D204%3Bdistance%3D1000&srpvid=32eb4ee8cf640168&srepoch=1641122002&from=searchresults#hotelTmpl,"Situé à Colmar, à seulement 1,6 km de la gare, l'Odalys City Colmar La Rose d'Argent propose une salle de sport et une piscine à contre-courant avec jets de massage. ",7.9,Colmar,48.07891558,7.36514839
11,B&B Hôtel Colmar Vignobles Ouest,https://www.booking.com/hotel/fr/b-amp-b-colmar-wintzenheim2.fr.html?label=fr-85Sbyi2evytni3mHZEi6UgS267492169156%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056586%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9Ye7BFAsTyVd6vvamF_no64o&sid=02b206a84eecccc147910770df8a2890&aid=376366&ucfs=1&arphpl=1&dest_id=-1425030&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=bayesian_review_score&nflt=distance%3D1000%3Bht_id%3D204%3Bdistance%3D3000%3Bdistance%3D5000&srpvid=c6504ee851e30008&srepoch=1641122002&from=searchresults#hotelTmpl,"Doté d'une connexion Wi-Fi haut débit gratuite dans tout l'établissement, le B & B Hôtel Colmar Vignobles Ouest propose des hébergements acceptant les animaux domestiques à Wintzenheim, à 5 minutes de...",7.4,Colmar,48.08389871,7.31371522
12,Hotel Restaurant Cristal,https://www.booking.com/hotel/fr/restaurant-cristal.fr.html?label=fr-85Sbyi2evytni3mHZEi6UgS267492169156%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056586%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9Ye7BFAsTyVd6vvamF_no64o&sid=02b206a84eecccc147910770df8a2890&aid=376366&ucfs=1&arphpl=1&dest_id=-1425030&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=bayesian_review_score&nflt=distance%3D1000%3Bht_id%3D204%3Bdistance%3D3000%3Bdistance%3D5000&srpvid=c6504ee851e30008&srepoch=1641122002&from=searchresults#hotelTmpl,"Situé au cœur des vignobles alsaciens, l'Hotel Restaurant Cristal propose un hébergement à Wintzenheim, à 5 km de Colmar. ",7.7,Colmar,48.07390014,7.28547303
13,Hostellerie Du Chapeau Rouge,https://www.booking.com/hotel/fr/bestwesternchapeaurouge.fr.html?label=fr-85Sbyi2evytni3mHZEi6UgS267492169156%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056586%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9Ye7BFAsTyVd6vvamF_no64o&sid=02b206a84eecccc147910770df8a2890&aid=376366&ucfs=1&arphpl=1&dest_id=-1423981&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=bayesian_review_score&nflt=ht_id%3D204%3Bdistance%3D1000&srpvid=48cf4ee96ef2004c&srepoch=1641122003&from=searchresults#hotelTmpl,"Bénéficiant d'un emplacement privilégié au cœur de Dijon, à proximité du centre historique, des musées et des rues commerçantes, l'Hostellerie Du Chapeau Rouge occupe un ancien hôtel particulier de...",8.9,Dijon,47.32125147,5.03569119
14,Icône Hôtel - Annecy,https://www.booking.com/hotel/fr/ica-ne.fr.html?label=fr-85Sbyi2evytni3mHZEi6UgS267492169156%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056586%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9Ye7BFAsTyVd6vvamF_no64o&sid=02b206a84eecccc147910770df8a2890&aid=376366&ucfs=1&arphpl=1&dest_id=-1407760&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=bayesian_review_score&nflt=ht_id%3D204%3Bdistance%3D1000&srpvid=2e794ee9f97101f4&srepoch=1641122003&from=searchresults#hotelTmpl,"Situé dans le centre-ville d'Annecy, à 10 minutes à pied du lac d'Annecy et à 33 km de la station de ski de La Clusaz, l'Icône Hôtel- Annecy vous propose un salon commun, une bagagerie et une...",7.9,Annecy,45.89714929,6.12265885
15,Hôtel Le Boulevardier,https://www.booking.com/hotel/fr/le-boulevardier-lyon.fr.html?label=fr-85Sbyi2evytni3mHZEi6UgS267492169156%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056586%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9Ye7BFAsTyVd6vvamF_no64o&sid=02b206a84eecccc147910770df8a2890&aid=376366&ucfs=1&arphpl=1&dest_id=-1448468&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=bayesian_review_score&nflt=ht_id%3D204%3Bdistance%3D1000&srpvid=2c454ee930380020&srepoch=1641122004&from=searchresults#hotelTmpl,"Installé dans un bâtiment historique de style Renaissance, l'Hôtel Le Boulevardier est situé dans le centre de Lyon, à moins de 300 mètres de la station de métro Cordeliers. ",8.5,Lyon,45.7649194,4.833715
16,ibis Grenoble Gare,https://www.booking.com/hotel/fr/ibis-grenoble-gare.fr.html?label=fr-85Sbyi2evytni3mHZEi6UgS267492169156%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056586%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9Ye7BFAsTyVd6vvamF_no64o&sid=02b206a84eecccc147910770df8a2890&aid=376366&ucfs=1&arphpl=1&dest_id=-1430647&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=bayesian_review_score&nflt=ht_id%3D204%3Bdistance%3D1000%3Bdistance%3D3000&srpvid=1e494ee95f970003&srepoch=1641122004&from=searchresults#hotelTmpl,"Situé à seulement 200 mètres de la gare de Grenoble, l'ibis Grenoble Gare propose des chambres climatisées avec vue sur la montagne et connexion Wi-Fi gratuite. ",7.7,Grenoble,45.192898,5.71739092
17,Residhotel Grenette,https://www.booking.com/hotel/fr/le-royal-grenoble.fr.html?label=fr-85Sbyi2evytni3mHZEi6UgS267492169156%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056586%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9Ye7BFAsTyVd6vvamF_no64o&sid=02b206a84eecccc147910770df8a2890&aid=376366&ucfs=1&arphpl=1&dest_id=-1430647&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=bayesian_review_score&nflt=ht_id%3D204%3Bdistance%3D1000%3Bdistance%3D3000&srpvid=1e494ee95f970003&srepoch=1641122004&from=searchresults#hotelTmpl,"Le Residhotel Grenette est situé dans le centre de Grenoble, à 3 minutes à pied de la place Victor Hugo. Il propose un hébergement indépendant avec une connexion Wi-Fi gratuite. ",7.6,Grenoble,45.19056363,5.72448447
18,Mercure Grenoble Centre Alpotel,https://www.booking.com/hotel/fr/mercure-grenoble-centre-alpotel.fr.html?label=fr-85Sbyi2evytni3mHZEi6UgS267492169156%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056586%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9Ye7BFAsTyVd6vvamF_no64o&sid=02b206a84eecccc147910770df8a2890&aid=376366&ucfs=1&arphpl=1&dest_id=-1430647&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=bayesian_review_score&nflt=ht_id%3D204%3Bdistance%3D1000%3Bdistance%3D3000&srpvid=1e494ee95f970003&srepoch=1641122004&from=searchresults#hotelTmpl,"Le Mercure Grenoble Centre Alpotel est situé au cœur de Grenoble, à 2 km de Minatec. L'hôtel dispose d'un restaurant servant une cuisine régionale contemporaine. ",7.7,Grenoble,45.18327326,5.72969198
19,The Originals Residence KOSY appart'hôtels - Les Cèdres,https://www.booking.com/hotel/fr/adagio-city-aparthotel-grenoble-berthelot.fr.html?label=fr-85Sbyi2evytni3mHZEi6UgS267492169156%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056586%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9Ye7BFAsTyVd6vvamF_no64o&sid=02b206a84eecccc147910770df8a2890&aid=376366&ucfs=1&arphpl=1&dest_id=-1430647&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=bayesian_review_score&nflt=ht_id%3D204%3Bdistance%3D1000%3Bdistance%3D3000&srpvid=1e494ee95f970003&srepoch=1641122004&from=searchresults#hotelTmpl,"Le KOSY Appart'hôtels est situé à Grenoble, à seulement 10 minutes à pied du centre-ville et à 31 km des pistes de ski de Chamrousse. ",7.7,Grenoble,45.17894378,5.73206306
